objid,mjd,magpsf,sigmapsf,fid,ra,dec
OBJ_000,59000.24646501531,17.155165424075943,0.03,1,150.0,20.0
OBJ_000,59001.48748719757,17.30062391332109,0.03,2,150.0,20.0
OBJ_000,59002.54877040309,17.188859983042477,0.03,2,150.0,20.0
OBJ_000,59003.02270177749,17.230104000937594,0.03,1,150.0,20.0
OBJ_000,59003.68761715426,17.20072689219089,0.03,1,150.0,20.0
OBJ_000,59004.6819170958,17.29282916340469,0.03,1,150.0,20.0
OBJ_000,59005.271123132465,17.279673568818676,0.03,1,150.0,20.0
OBJ_000,59007.561380922416,17.24532315060583,0.03,2,150.0,20.0
OBJ_000,59011.18549488496,17.10348002543225,0.03,1,150.0,20.0
OBJ_000,59012.158685452014,17.21625696817758,0.03,1,150.0,20.0
OBJ_000,59013.525152020535,17.24783982900341,0.03,1,150.0,20.0
OBJ_000,59015.80900585423,17.26385359825669,0.03,1,150.0,20.0
OBJ_000,59020.444183418,17.182760167229205,0.03,2,150.0,20.0
OBJ_000,59020.757798809434,17.304756087631002,0.03,1,150.0,20.0
OBJ_000,59021.54324986936,17.14763397096392,0.03,2,150.0,20.0
OBJ_000,59024.28080423875,17.180579118373824,0.03,2,150.0,20.0
OBJ_000,59026.97407014837,17.260408018870287,0.03,2,150.0,20.0
OBJ_000,59027.921768800305,17.21610825015585,0.03,2,150.0,20.0
OBJ_000,59028.96824519683,17.313775148646847,0.03,2,150.0,20.0
OBJ_000,59030.25053544911,17.223081479090208,0.03,2,150.0,20.0
OBJ_000,59030.412010295644,17.181995814954973,0.03,1,150.0,20.0
OBJ_000,59032.201567703814,17.194777344202944,0.03,2,150.0,20.0
OBJ_000,59034.530979883566,17.159098213583626,0.03,1,150.0,20.0
OBJ_000,59035.00292815812,17.149771511145254,0.03,1,150.0,20.0
OBJ_000,59035.24571004754,17.245176094002996,0.03,1,150.0,20.0
OBJ_000,59038.041849907786,17.242713810085224,0.03,1,150.0,20.0
OBJ_000,59040.53054299844,17.27838346043664,0.03,1,150.0,20.0
OBJ_000,59043.72518229486,17.175925229901587,0.03,2,150.0,20.0
OBJ_000,59047.281889022815,17.29811089208677,0.03,2,150.0,20.0
OBJ_000,59048.73150982242,17.19928613407415,0.03,2,150.0,20.0
OBJ_000,59048.92624923189,17.292375933406813,0.03,2,150.0,20.0
OBJ_000,59051.437684765675,17.192016227105455,0.03,2,150.0,20.0
OBJ_000,59053.48700271797,17.17688135484747,0.03,2,150.0,20.0
OBJ_000,59054.59721981904,17.226144788042518,0.03,1,150.0,20.0
OBJ_000,59055.38466003331,17.265228173708056,0.03,1,150.0,20.0
OBJ_000,59056.086843021745,17.22170599830035,0.03,2,150.0,20.0
OBJ_000,59057.32655185893,17.184379078258416,0.03,1,150.0,20.0
OBJ_000,59058.247056041684,17.14659453376075,0.03,2,150.0,20.0
OBJ_000,59058.5413348641,17.143579508718712,0.03,1,150.0,20.0
OBJ_000,59060.35619732243,17.23878966195833,0.03,2,150.0,20.0
OBJ_000,59061.69877860326,17.263141171128876,0.03,2,150.0,20.0
OBJ_000,59061.960205751384,17.205440789833318,0.03,1,150.0,20.0
OBJ_000,59064.933950617466,17.159937276553162,0.03,2,150.0,20.0
OBJ_000,59065.65469048856,17.25730762709567,0.03,1,150.0,20.0
OBJ_000,59065.668990178696,17.149635822228856,0.03,1,150.0,20.0
OBJ_000,59070.83884767398,17.17800211471162,0.03,2,150.0,20.0
OBJ_000,59071.66918432586,17.24470641214159,0.03,2,150.0,20.0
OBJ_000,59073.194321528026,17.101148460785854,0.03,1,150.0,20.0
OBJ_000,59073.42681987094,17.2329739993429,0.03,2,150.0,20.0
OBJ_000,59074.937973288805,17.184573477644108,0.03,2,150.0,20.0
OBJ_000,59077.16638489288,17.219119504338476,0.03,2,150.0,20.0
OBJ_000,59077.68610301149,17.209870443153545,0.03,1,150.0,20.0
OBJ_000,59078.88358077296,17.22376123921678,0.03,2,150.0,20.0
OBJ_000,59080.05390509141,17.248364116299935,0.03,2,150.0,20.0
OBJ_000,59080.12469168043,17.175737031919663,0.03,1,150.0,20.0
OBJ_000,59082.14800195499,17.28470462058018,0.03,1,150.0,20.0
OBJ_000,59084.06391643606,17.249960208911972,0.03,1,150.0,20.0
OBJ_000,59084.1565181409,17.25584215257975,0.03,1,150.0,20.0
OBJ_000,59088.27518048986,17.271898718520134,0.03,1,150.0,20.0
OBJ_000,59089.748894221026,17.253034930549877,0.03,1,150.0,20.0
OBJ_001,59000.57679943979,18.246540138963457,0.03,1,150.01,20.0
OBJ_001,59005.35177364403,18.184429128030686,0.03,2,150.01,20.0
OBJ_001,59005.66059486095,18.293160765667125,0.03,1,150.01,20.0
OBJ_001,59006.50387389769,18.138282954219473,0.03,2,150.01,20.0
OBJ_001,59008.004207622165,18.206656812163548,0.03,1,150.01,20.0
OBJ_001,59011.41353920351,18.167867299935676,0.03,2,150.01,20.0
OBJ_001,59012.71219012109,18.205933483668737,0.03,1,150.01,20.0
OBJ_001,59015.0347635904,18.177282023344393,0.03,1,150.01,20.0
OBJ_001,59015.95040664272,18.149582685806873,0.03,1,150.01,20.0
OBJ_001,59016.44411410339,18.134261753111247,0.03,2,150.01,20.0
OBJ_001,59016.8756944155,18.330944428279775,0.03,2,150.01,20.0
OBJ_001,59017.47167956017,18.17377533834112,0.03,2,150.01,20.0
OBJ_001,59017.55966586111,18.076809556815668,0.03,1,150.01,20.0
OBJ_001,59022.24320662899,18.145212560932166,0.03,2,150.01,20.0
OBJ_001,59024.28531069507,18.21154457768353,0.03,2,150.01,20.0
OBJ_001,59024.64641887396,18.152642169668095,0.03,2,150.01,20.0
OBJ_001,59027.79716264473,18.245664901451594,0.03,2,150.01,20.0
OBJ_001,59028.43491908309,18.22776250496953,0.03,2,150.01,20.0
OBJ_001,59028.77134726544,18.17002565953612,0.03,1,150.01,20.0
OBJ_001,59030.98661578661,18.15403179418853,0.03,1,150.01,20.0
OBJ_001,59034.26934574798,18.127402540975947,0.03,1,150.01,20.0
OBJ_001,59034.92600586061,18.142644264211665,0.03,2,150.01,20.0
OBJ_001,59035.60015457944,18.103985437594048,0.03,1,150.01,20.0
OBJ_001,59038.679665506075,18.237862405903986,0.03,2,150.01,20.0
OBJ_001,59043.99645921501,18.257177630683636,0.03,2,150.01,20.0
OBJ_001,59044.99755412927,18.114835687840944,0.03,1,150.01,20.0
OBJ_001,59045.963585498925,18.11855844254301,0.03,1,150.01,20.0
OBJ_001,59047.10912546554,18.089216998472985,0.03,2,150.01,20.0
OBJ_001,59047.34200237561,18.129449879790723,0.03,2,150.01,20.0
OBJ_001,59050.52606907952,18.022325751263168,0.03,2,150.01,20.0
OBJ_001,59051.42560404102,18.120528643495735,0.03,2,150.01,20.0
OBJ_001,59051.99191032661,18.242488361317356,0.03,1,150.01,20.0
OBJ_001,59052.05023234336,18.160358964854108,0.03,1,150.01,20.0
OBJ_001,59053.08830254889,18.22037180307,0.03,1,150.01,20.0
OBJ_001,59054.20152587417,18.153194138135227,0.03,2,150.01,20.0
OBJ_001,59058.735311870296,18.265675956176988,0.03,1,150.01,20.0
OBJ_001,59060.110046501424,18.187603490478022,0.03,1,150.01,20.0
OBJ_001,59060.30556643834,18.158542476720157,0.03,1,150.01,20.0
OBJ_001,59060.527397052516,18.305263792595884,0.03,1,150.01,20.0
OBJ_001,59063.23868635938,18.16141899851306,0.03,1,150.01,20.0
OBJ_001,59064.31566829893,18.116581423841023,0.03,2,150.01,20.0
OBJ_001,59066.968773135435,18.187738091425338,0.03,1,150.01,20.0
OBJ_001,59067.34236529716,18.175700839399425,0.03,1,150.01,20.0
OBJ_001,59069.53842811028,18.230958818985645,0.03,2,150.01,20.0
OBJ_001,59069.812206929164,18.13156089510244,0.03,2,150.01,20.0
OBJ_001,59073.11018583001,18.217878437901305,0.03,1,150.01,20.0
OBJ_001,59077.46312685929,18.220280014856044,0.03,1,150.01,20.0
OBJ_001,59077.68081837704,18.144258226730578,0.03,2,150.01,20.0
OBJ_001,59077.83004658607,18.185804791613464,0.03,1,150.01,20.0
OBJ_001,59079.20883091736,18.136104993484615,0.03,2,150.01,20.0
OBJ_001,59079.31764554639,18.294932995019366,0.03,1,150.01,20.0
OBJ_001,59081.923018959445,18.142435613213323,0.03,2,150.01,20.0
OBJ_001,59083.314311949296,18.154988869143896,0.03,2,150.01,20.0
OBJ_001,59084.94212842479,18.12435069022916,0.03,2,150.01,20.0
OBJ_001,59086.25722686001,18.16033652756867,0.03,2,150.01,20.0
OBJ_001,59086.618078381194,18.177348789992486,0.03,2,150.01,20.0
OBJ_001,59087.88160897425,18.216032048094565,0.03,1,150.01,20.0
OBJ_001,59088.043914245616,18.147118259024047,0.03,1,150.01,20.0
OBJ_001,59088.3748423814,18.16835389339375,0.03,1,150.01,20.0
OBJ_001,59089.542561334485,18.10681812300663,0.03,2,150.01,20.0
OBJ_002,59001.09318735023,16.228914345391726,0.03,2,150.02,20.0
OBJ_002,59002.161188060425,16.26021948496375,0.03,2,150.02,20.0
OBJ_002,59006.63447893621,16.267641856167447,0.03,1,150.02,20.0
OBJ_002,59007.74111924549,16.149214925942328,0.03,2,150.02,20.0
OBJ_002,59011.46226247295,16.317899119458552,0.03,1,150.02,20.0
OBJ_002,59012.28890728708,16.265318125344745,0.03,2,150.02,20.0
OBJ_002,59013.680711227025,16.199014992844308,0.03,2,150.02,20.0
OBJ_002,59014.70312820232,16.177042053368893,0.03,1,150.02,20.0
OBJ_002,59015.39192960186,16.169524424407054,0.03,1,150.02,20.0
OBJ_002,59015.78687749866,16.224143967823775,0.03,2,150.02,20.0
OBJ_002,59017.15558043636,16.18557423123548,0.03,1,150.02,20.0
OBJ_002,59017.93685066116,16.179731347680637,0.03,1,150.02,20.0
OBJ_002,59020.02080563922,16.258537766192045,0.03,1,150.02,20.0
OBJ_002,59021.50493405222,16.23620341313628,0.03,2,150.02,20.0
OBJ_002,59022.17653721459,16.19824648302378,0.03,2,150.02,20.0
OBJ_002,59023.05350192851,16.254687425754234,0.03,2,150.02,20.0
OBJ_002,59025.207416167985,16.28634397726025,0.03,1,150.02,20.0
OBJ_002,59028.133608239106,16.163250230313484,0.03,2,150.02,20.0
OBJ_002,59029.518406078816,16.187810451737853,0.03,2,150.02,20.0
OBJ_002,59029.69062492446,16.265106137955957,0.03,2,150.02,20.0
OBJ_002,59030.75683851855,16.253922074235717,0.03,2,150.02,20.0
OBJ_002,59031.54993302311,16.229309988766865,0.03,2,150.02,20.0
OBJ_002,59032.65397557766,16.276096105322885,0.03,2,150.02,20.0
OBJ_002,59035.25073195085,16.16356445948901,0.03,1,150.02,20.0
OBJ_002,59035.4768089426,16.144018154256408,0.03,2,150.02,20.0
OBJ_002,59039.53060386725,16.17464967808112,0.03,1,150.02,20.0
OBJ_002,59042.89295795352,16.224102250721767,0.03,1,150.02,20.0
OBJ_002,59043.60490481116,16.17817070719021,0.03,1,150.02,20.0
OBJ_002,59046.095629205396,16.19361413812373,0.03,2,150.02,20.0
OBJ_002,59047.89444261269,16.16922503998995,0.03,2,150.02,20.0
OBJ_002,59050.11519410486,16.18695358871522,0.03,2,150.02,20.0
OBJ_002,59050.19728243592,16.167735684995314,0.03,2,150.02,20.0
OBJ_002,59050.79715390085,16.236348356232245,0.03,1,150.02,20.0
OBJ_002,59051.2123268837,16.257719599344124,0.03,1,150.02,20.0
OBJ_002,59051.69402432881,16.193952748969053,0.03,1,150.02,20.0
OBJ_002,59052.64844122031,16.20761175617143,0.03,2,150.02,20.0
OBJ_002,59052.95420984863,16.18892341731937,0.03,1,150.02,20.0
OBJ_002,59053.09645333846,16.244537606726773,0.03,2,150.02,20.0
OBJ_002,59055.02048158477,16.222427847881924,0.03,1,150.02,20.0
