objid,mjd,magpsf,sigmapsf,fid
P_000,59002.48032019188,16.82485027977973,0.03,1
P_000,59003.56335889978,16.835784732799375,0.03,2
P_000,59005.61146212349,16.773035759594105,0.03,2
P_000,59007.33973556272,16.766776513482892,0.03,2
P_000,59010.42790512237,16.832124392483507,0.03,2
P_000,59012.06375275224,16.798807684997165,0.03,1
P_000,59012.974365144764,16.833920446427665,0.03,1
P_000,59013.31298322065,16.860121141965074,0.03,1
P_000,59014.458680789765,16.739705797523605,0.03,2
P_000,59017.21915334515,16.834864571667033,0.03,1
P_000,59017.24546331181,16.88337751421794,0.03,1
P_000,59018.31097166085,16.80726882362263,0.03,1
P_000,59023.40877029635,16.781604436679274,0.03,1
P_000,59023.60820063977,16.859757357200134,0.03,1
P_000,59024.920208364085,16.83481749165156,0.03,1
P_000,59025.23678821875,16.86693931938003,0.03,1
P_000,59027.28753463625,16.80488438033859,0.03,1
P_000,59028.064830680945,16.748054252155043,0.03,1
P_000,59029.67585448492,16.81664462760559,0.03,2
P_000,59036.28016878024,16.79985375819059,0.03,1
P_000,59036.82792227322,16.860911356943532,0.03,2
P_000,59038.09938040753,16.83182680826001,0.03,2
P_000,59040.814810053256,16.7406027042194,0.03,1
P_000,59041.34022945969,16.762387011835994,0.03,2
P_000,59042.47187474229,16.866334617670518,0.03,2
P_000,59043.66718769885,16.856133416712044,0.03,2
P_000,59045.854629336936,16.79013299754573,0.03,1
P_000,59045.97999960199,16.82209272601279,0.03,2
P_000,59046.063946223025,16.844423843529963,0.03,2
P_000,59046.44617269931,16.845565382633517,0.03,2
P_000,59047.5730336934,16.86595727564687,0.03,2
P_000,59048.432898189734,16.83496944720223,0.03,2
P_000,59048.71041699927,16.81740374889273,0.03,1
P_000,59049.463431890574,16.80920276260176,0.03,2
P_000,59053.36469162939,16.874932305867816,0.03,2
P_000,59055.17029709477,16.709602452087225,0.03,2
P_000,59056.114077998376,16.815212399586585,0.03,1
P_000,59057.719535222546,16.823795171040356,0.03,2
P_000,59061.495821540295,16.750877717797643,0.03,2
P_000,59065.231094669616,16.838785846498055,0.03,1
P_000,59067.532820536704,16.789581115218983,0.03,1
P_000,59067.772718693195,16.86526740565694,0.03,1
P_000,59067.81617978073,16.815865561639438,0.03,2
P_000,59069.901480290806,16.855602827880627,0.03,1
P_000,59070.83872473993,16.883087346099714,0.03,1
P_000,59070.95858330856,16.841291644976828,0.03,1
P_000,59072.212774502106,16.77835910867001,0.03,2
P_000,59073.766404720736,16.74642923425592,0.03,2
P_000,59074.49323344384,16.909814371716973,0.03,1
P_000,59075.58933689283,16.816580556181776,0.03,2
P_000,59076.73695546326,16.787716918459438,0.03,2
P_000,59076.97042768584,16.829358020244193,0.03,1
P_000,59077.51551465599,16.81257459931702,0.03,2
P_000,59078.88833867749,16.86475227905179,0.03,2
P_000,59082.556793431184,16.82384157496301,0.03,2
P_000,59085.37845024235,16.822832645022075,0.03,2
P_000,59085.541732669335,16.786416179789505,0.03,2
P_000,59086.54914742974,16.84562357077853,0.03,1
P_000,59087.29328718945,16.770451829723402,0.03,1
P_000,59088.26634798211,16.855439637829353,0.03,2
P_001,59001.505053947185,18.84013475977555,0.03,1
P_001,59001.51445562122,18.87378954457981,0.03,1
P_001,59002.38360940136,18.91366788188521,0.03,1
P_001,59006.769000063294,18.85621570140888,0.03,2
P_001,59011.20142992639,18.87662811384307,0.03,1
P_001,59011.48586178465,18.86041174300834,0.03,1
P_001,59016.90422683089,18.88192069758787,0.03,2
P_001,59018.10828806522,18.83006660357467,0.03,1
P_001,59018.835293835604,18.86669433154957,0.03,2
P_001,59020.02561793516,18.878249089094073,0.03,2
P_001,59020.870989061594,18.87190743513948,0.03,1
P_001,59022.6140820354,18.891428233074375,0.03,2
P_001,59023.5932116571,18.87393862436185,0.03,2
P_001,59025.6918705907,18.926254305751655,0.03,1
P_001,59025.88540419764,18.872433939040395,0.03,1
P_001,59026.57108300964,18.881761255514892,0.03,1
P_001,59027.315803393954,18.85535466852989,0.03,2
P_001,59027.8071379168,18.862267993323922,0.03,1
P_001,59032.38082338434,18.825369095788698,0.03,2
P_001,59032.642717135204,18.914532981373583,0.03,1
P_001,59033.46691128831,18.83146783444706,0.03,2
P_001,59034.288338536375,18.851300915420268,0.03,2
P_001,59034.334363937596,18.906555967930245,0.03,2
P_001,59034.89922040904,18.90872240362691,0.03,2
P_001,59035.10670967459,18.868587997779432,0.03,1
P_001,59035.32425984113,18.787630444805245,0.03,1
P_001,59035.60007789472,18.909619399694463,0.03,2
P_001,59036.14726014997,18.90157190827429,0.03,2
P_001,59039.85100010635,18.817974674556098,0.03,2
P_001,59040.2131656561,18.92710983946941,0.03,2
