object_id,RA,Dec,Surprisal_Score,Status,Matched_Catalog,Match_Sep_arcsec,Confidence,Period_Guess_Hours,Phase_Sharpness,Period_False_Alarm_Prob,Num_Specular_Glints,Material_Inference,Orbital_Regime,Rate_deg_day,Rate_arcsec_sec
OBJ_000,150.0,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.5,0.94,0.9759,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_001,150.01,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.21,0.952,0.9508,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_002,150.02,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,1.66,0.921,0.9936,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_003,150.03,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.35,0.897,0.9994,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_004,150.04,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.54,0.896,0.9994,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_005,,,,NO_ASTROMETRY,NONE,,LOW,0.24,0.941,0.9734,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
OBJ_006,150.06,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,5.97,0.918,0.9946,2,MLI_KAPTON_LIKE (red-dominant glints),SIDEREAL_STATIONARY,0.0,0.0
OBJ_007,150.07,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.35,0.947,0.9553,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_008,150.08,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.25,0.964,0.9116,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_009,150.09,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,1.68,0.911,0.9972,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_010,150.1,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.68,0.918,0.9951,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_011,150.11,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.21,1.0,1.0,4,NEUTRAL_OR_ALUMINUM,SIDEREAL_STATIONARY,0.0,0.0
OBJ_012,150.12,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.21,0.907,0.9982,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_013,150.13,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.33,0.945,0.9606,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_014,150.14,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.23,0.937,0.9776,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_015,150.15,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,4.69,0.942,0.9735,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_016,150.16,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.48,0.931,0.9844,2,MLI_KAPTON_LIKE (red-dominant glints),SIDEREAL_STATIONARY,0.0,0.0
OBJ_017,150.17,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.26,0.956,0.9404,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_018,150.18,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,1.27,0.973,0.861,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_019,150.19,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.29,0.917,0.9939,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_020,150.2,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.28,0.951,0.9482,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_021,150.21,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.33,0.941,0.9714,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_022,150.22,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.41,0.931,0.986,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_023,150.23,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,2.52,0.929,0.9858,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_024,150.24,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.23,0.927,0.9905,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_025,150.25,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,2.11,0.914,0.9964,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_026,150.26,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,1.08,0.916,0.9958,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_027,150.27,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.23,0.941,0.9735,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_028,150.28,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.22,0.932,0.9848,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_029,150.29,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,8.7,0.962,0.9181,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_030,150.3,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,2.71,0.948,0.9554,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_031,150.31,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.35,0.909,0.9977,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_032,150.32,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.61,0.901,0.9991,1,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_033,150.33,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.2,0.927,0.9887,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_034,150.34,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.33,0.931,0.9828,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_035,150.35,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,1.4,0.926,0.989,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_036,150.36,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.31,0.927,0.99,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_037,150.37,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,6.88,0.919,0.9944,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_038,150.38,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.21,0.921,0.9939,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
OBJ_039,150.39,20.0,,UNCORRELATED_ANOMALY,NONE,,HIGH,0.56,0.93,0.9854,0,INSUFFICIENT_GLINTS,SIDEREAL_STATIONARY,0.0,0.0
