object_id,RA,Dec,Surprisal_Score,Status,Matched_Catalog,Match_Sep_arcsec,Confidence,Period_Guess_Hours,Phase_Sharpness,Period_False_Alarm_Prob,Num_Specular_Glints,Material_Inference,Orbital_Regime,Rate_deg_day,Rate_arcsec_sec
P_023,,,2.314,NO_ASTROMETRY,NONE,,LOW,0.42,0.932,0.9849,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_024,,,1.727,NO_ASTROMETRY,NONE,,LOW,0.46,0.902,0.999,1,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_025,,,1.566,NO_ASTROMETRY,NONE,,LOW,0.25,0.929,0.9853,1,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_005,,,1.379,NO_ASTROMETRY,NONE,,LOW,0.45,0.952,0.9479,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_004,,,1.37,NO_ASTROMETRY,NONE,,LOW,0.5,0.933,0.9845,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_007,,,1.21,NO_ASTROMETRY,NONE,,LOW,0.31,0.959,0.9252,2,SOLAR_CELL_LIKE (blue-dominant glints),STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_031,,,1.074,NO_ASTROMETRY,NONE,,LOW,0.46,0.961,0.916,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_010,,,0.921,NO_ASTROMETRY,NONE,,LOW,0.31,0.95,0.9563,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_026,,,0.872,NO_ASTROMETRY,NONE,,LOW,7.82,0.952,0.9491,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
P_033,,,0.579,NO_ASTROMETRY,NONE,,LOW,0.37,0.949,0.952,0,INSUFFICIENT_GLINTS,STATIC_OR_INSUFFICIENT_DATA,0.0,0.0
