object_id,RA,Dec,Surprisal_Score,Status,Matched_Catalog,Match_Sep_arcsec,Confidence,Period_Guess_Hours,Phase_Sharpness,Period_False_Alarm_Prob,Num_Specular_Glints,Material_Inference,Orbital_Regime,Rate_deg_day,Rate_arcsec_sec
ZTF_MOCK_D0049,119.78518,34.30118,16.285,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,5.31,0.886,0.0003,1,INSUFFICIENT_GLINTS,GEO_BELT_DRIFTER_CANDIDATE,0.00544,0.00023
ZTF_MOCK_D0024,120.55703,35.50748,11.303,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.41,1.0,1.0,3,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00708,0.0003
ZTF_MOCK_D0012,118.23065,34.57817,10.07,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.39,0.991,1.0,6,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00746,0.00031
ZTF_MOCK_D0046,120.10608,35.62084,9.506,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.86,1.0,1.0,4,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00696,0.00029
ZTF_MOCK_D0052,118.14565,35.79284,8.681,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.39,1.0,1.0,3,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00689,0.00029
ZTF_MOCK_D0050,120.14324,35.33529,8.633,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.25,0.735,0.5205,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00879,0.00037
ZTF_MOCK_D0014,120.69813,34.88965,8.067,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.23,0.987,1.0,6,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.0084,0.00035
ZTF_MOCK_D0009,119.41479,34.42513,6.917,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.41,0.998,1.0,5,SOLAR_CELL_LIKE (blue-dominant glints),SIDEREAL_STATIONARY,0.00495,0.00021
ZTF_MOCK_D0034,119.58114,35.94369,6.647,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.56,0.985,1.0,7,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00743,0.00031
ZTF_MOCK_D0045,120.66463,35.58846,6.206,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.8,1.0,1.0,4,SOLAR_CELL_LIKE (blue-dominant glints),SIDEREAL_STATIONARY,0.00498,0.00021
ZTF_MOCK_D0053,119.74436,34.389,6.19,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,11.88,0.716,0.0904,2,NEUTRAL_OR_ALUMINUM,GEO_BELT_DRIFTER_CANDIDATE,0.00595,0.00025
ZTF_MOCK_D0036,120.21017,34.67312,6.187,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.22,1.0,1.0,3,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00946,0.00039
ZTF_MOCK_D0001,120.76869,34.58383,6.056,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.21,0.991,1.0,6,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00785,0.00033
ZTF_MOCK_D0022,119.58761,35.71847,6.056,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.36,1.0,1.0,4,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00593,0.00025
ZTF_MOCK_D0058,120.33477,34.92608,5.995,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.22,0.954,1.0,8,NEUTRAL_OR_ALUMINUM,GEO_BELT_DRIFTER_CANDIDATE,0.00904,0.00038
ZTF_MOCK_D0043,119.31492,35.08231,5.835,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.26,0.944,0.0323,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00963,0.0004
ZTF_MOCK_D0059,121.57857,34.5033,5.647,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,3.11,0.872,0.0025,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00756,0.00032
ZTF_MOCK_D0054,119.16855,34.88987,5.627,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.32,0.997,1.0,5,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00614,0.00026
ZTF_MOCK_D0004,119.69038,34.19341,5.558,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.1,0.842,0.0001,2,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.0055,0.00023
ZTF_MOCK_D0039,120.47777,34.2552,5.556,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,7.28,0.813,0.0027,2,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00876,0.00036
