object_id,RA,Dec,Surprisal_Score,Status,Matched_Catalog,Match_Sep_arcsec,Confidence,Period_Guess_Hours,Phase_Sharpness,Period_False_Alarm_Prob,Num_Specular_Glints,Material_Inference,Orbital_Regime,Rate_deg_day,Rate_arcsec_sec
ZTF_MOCK_D0017,119.50031,36.98214,15.232,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.4,1.0,1.0,4,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00968,0.0004
ZTF_MOCK_D0050,120.4527,36.06699,14.172,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.2,0.667,0.3905,2,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00674,0.00028
ZTF_MOCK_D0077,120.17055,35.72875,13.828,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,4.96,0.876,0.0,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.01024,0.00043
ZTF_MOCK_D0148,119.37412,34.92731,12.228,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.21,0.999,1.0,4,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.0061,0.00025
ZTF_MOCK_D0099,119.8283,35.20146,11.517,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.3,1.0,1.0,4,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00785,0.00033
ZTF_MOCK_D0097,118.35316,33.75951,10.88,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,2.2,0.805,0.0001,1,INSUFFICIENT_GLINTS,GEO_BELT_DRIFTER_CANDIDATE,0.00995,0.00041
ZTF_MOCK_D0071,120.09126,35.0428,10.622,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.34,1.0,1.0,3,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00665,0.00028
ZTF_MOCK_D0039,120.26664,35.62784,10.559,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.52,0.888,0.0676,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00593,0.00025
ZTF_MOCK_D0142,120.78577,35.37111,10.464,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,5.1,0.708,0.2898,2,MLI_KAPTON_LIKE (red-dominant glints),SIDEREAL_STATIONARY,0.00498,0.00021
ZTF_MOCK_D0078,120.00344,33.51006,10.154,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,9.81,0.778,0.0005,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.0059,0.00025
ZTF_MOCK_D0083,120.74514,34.54828,9.894,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,10.36,0.779,0.0003,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00518,0.00022
ZTF_MOCK_D0114,120.11811,34.71685,9.388,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.76,0.761,0.8592,1,INSUFFICIENT_GLINTS,GEO_BELT_DRIFTER_CANDIDATE,0.00866,0.00036
ZTF_MOCK_D0012,119.00284,35.30329,9.314,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.42,1.0,1.0,3,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00509,0.00021
ZTF_MOCK_D0073,120.24822,35.29876,9.01,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.32,0.996,1.0,6,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00614,0.00026
ZTF_MOCK_D0033,120.89837,33.67785,8.876,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,10.25,0.828,0.0117,1,INSUFFICIENT_GLINTS,GEO_BELT_DRIFTER_CANDIDATE,0.00837,0.00035
ZTF_MOCK_D0081,119.76033,34.50935,8.465,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.2,0.989,1.0,6,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00767,0.00032
ZTF_MOCK_D0055,120.48391,35.27545,8.36,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.21,1.0,1.0,3,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00909,0.00038
ZTF_MOCK_D0003,122.02582,34.56699,8.312,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,5.12,0.674,0.2141,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00849,0.00035
ZTF_MOCK_D0149,119.70249,35.44683,8.199,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,6.82,0.815,0.0187,2,MLI_KAPTON_LIKE (red-dominant glints),SIDEREAL_STATIONARY,0.00456,0.00019
ZTF_MOCK_D0109,120.21959,34.52777,8.169,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.67,0.811,0.0029,2,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00885,0.00037
ZTF_MOCK_D0103,120.15495,33.16182,8.089,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.29,1.0,1.0,3,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.01099,0.00046
ZTF_MOCK_D0060,120.46845,35.33519,7.894,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.25,0.694,0.1834,2,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00702,0.00029
ZTF_MOCK_D0048,120.61144,34.24808,7.871,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.01,0.994,1.0,5,SOLAR_CELL_LIKE (blue-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.01167,0.00049
ZTF_MOCK_D0119,118.9532,32.6374,7.854,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,1.85,1.0,1.0,4,NEUTRAL_OR_ALUMINUM,GEO_BELT_DRIFTER_CANDIDATE,0.01026,0.00043
ZTF_MOCK_D0094,119.98341,34.71766,7.766,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.43,0.973,1.0,7,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.00655,0.00027
ZTF_MOCK_D0123,120.25352,34.29838,7.372,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.25,0.997,1.0,5,MLI_KAPTON_LIKE (red-dominant glints),GEO_BELT_DRIFTER_CANDIDATE,0.0113,0.00047
ZTF_MOCK_D0100,118.41447,33.86465,7.186,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,11.62,0.759,0.8779,1,INSUFFICIENT_GLINTS,GEO_BELT_DRIFTER_CANDIDATE,0.00655,0.00027
ZTF_MOCK_D0065,120.59099,34.4504,7.158,UNCORRELATED_ANOMALY,NONE,,VERY_HIGH,0.45,1.0,1.0,4,NEUTRAL_OR_ALUMINUM,GEO_BELT_DRIFTER_CANDIDATE,0.00706,0.00029
