epoch,step,train_loss,val_loss
0,7,,2.2377126216888428
0,7,2.7083563804626465,
1,15,,2.0346567630767822
1,15,2.1736462116241455,
2,23,,1.966606855392456
2,23,2.058096170425415,
3,31,,1.915122389793396
3,31,2.0269150733947754,
4,39,,1.9100319147109985
4,39,1.984933614730835,
5,47,,1.9202853441238403
5,47,1.9928972721099854,
6,55,,1.8861140012741089
6,55,1.9785043001174927,
7,63,,1.922788381576538
7,63,1.9869176149368286,
8,71,,1.8932381868362427
8,71,1.977424144744873,
9,79,,1.8257691860198975
9,79,1.9727811813354492,
10,87,,1.9053106307983398
10,87,1.9594199657440186,
11,95,,1.9086791276931763
11,95,1.9743367433547974,
